acto;nome;tipo;ambito_geografico;primeiro_ano;ultimo_ano;n_publicacoes;n_organizacoes;codigos_organizacoes
6366;CONTRATO COLETIVO ENTRE A LIGA PORTUGUESA DE FUTEBOL PROFISSIONAL E A ASSOCIAÇÃO NACIONAL DE TREINADORES DE FUTEBOL - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2012;2012;2;2;1.429.0 5.319.1
6367;CONTRATO COLETIVO ENTRE A ANF - ASSOCIAÇÃO NACIONAL DE FARMÁCIAS E O SNF - SINDICATO NACIONAL DOS FARMACÊUTICOS - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2012;2014;6;2;1.216.1 5.100.1
6368;ACORDO COLETIVO ENTRE A MEAGRI - COOPERATIVA AGRÍCOLA DO CONCELHO DA MEALHADA, CRL E OUTRAS E O SETAA - SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS - RVISÃO GLOBAL.;Acordo coletivo de trabalho;Nacional;2012;2014;2;1;1.103.2
6369;ACORDO DE EMPRESA ENTRE A OGMA - INDÚSTRIA AERONAÚTICA DE PORTUGAL, SA E O SITAVA - SINDICATO DOS TRABALHADORES DA AVIAÇÃO E AEROPORTOS - REVISÃO GLOBAL;Acordo de empresa;Nacional;2012;2012;1;1;1.372.0
6370;CONTRATO COLETIVO ENTRE A ANCAVE - ASSOCIAÇÃO NACIONAL DOS CENTROS DE ABATE E INDÚSTRIAS TRANSFORMADORAS DE CARNE DE AVES E O SETAA - SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2012;2012;2;2;1.103.2 5.278.1
6371;AE ENTRE A HPEM - HIGIENE PÚBLICA, EEM E O STAL - SINDICATO NACIONAL DOS TRABALHADORES DA ADMINISTRAÇÃO LOCAL E REGIONAL - REVISÃO GLOBAL;Acordo de empresa;Concelhia;2012;2013;2;1;1.306.0
6372;CONTRATO COLETIVO ENTRE A ALIF - ASSOCIAÇÃO DA INDÚSTRIA ALIMENTAR PELO FRIO E O SETAA - SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2012;2015;4;2;1.103.2 5.241.1
6373;ACORDO DE EMPRESA ENTRE A LUSOPONTE - CONCESSIONÁRIA PARA A TRAVESSIA DO TEJO, SA E O SINDICATO DA CONSTRUÇÃO, OBRAS PÚBLICAS E SERVIÇOS - SETACCOP;Acordo de empresa;Nacional;2012;2013;2;1;1.286.3
6374;CONTRATO COLETIVO ENTRE A ADCP - ASSOCIAÇÃO DAS ADEGAS COOPERATIVAS DE PORTUGAL E O SETAA - SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS;Contrato coletivo de trabalho;Nacional;2012;2015;6;2;1.103.2 5.601.0
6375;ACORDO DE EMPRESA ENTRE A DHL AVIATION NV - SA (SUCURSAL) E O SITAVA - SINDICATO DOS TRABALHADORES DA AVIAÇÃO E AEROPORTOS E OUTRO;Acordo de empresa;Nacional;2012;2020;6;2;1.372.0 1.47.0
6376;CONTRATO COLETIVO ENTRE A ANCAVE - ASSOCIAÇÃO NACIONAL DOS CENTROS DE ABATE E INDÚSTRIAS TRANSFORMADORAS DE CARNES DE AVES E O SETAA - SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS - REVISÃO GLOBAL;Contrato coletivo de trabalho;Nacional;2012;2015;6;2;1.103.2 5.278.1
6377;ACORDO DE EMPRESA ENTRE O FUTEBOL CLUBE DO PORTO E O CESP - SINDICATO DOS TRABALHADORES DO COMERCIO, ESCRITORIOS E SERVIÇOS DE PORTUGAL E OUTROS - ALTERAÇAO SALARIAL E OUTRAS;Acordo de empresa;Distrital;2013;2015;10;4;1.31.1 1.342.3 1.392.1 1.518.0
6378;ACORDO DE EMPRESA ENTRE A SANTA CASA DA MISERICÓRDIA DE LISBOA E O STFPSRA - SINDICATO DOS TRABALHADORES EM FUNÇÕES PÚBLICAS E SOCIAIS DO SUL E REGIÕES AUTÓNOMAS E OUTRO;Acordo de empresa;Nacional;2013;2014;3;3;1.310.3 1.310.4 1.313.2
6379;ACORDO DE EMPRESA ENTRE A ASSOCIAÇÃO HUMANITÁRIA DOS BOMBEIROS DE REGUENGOS DE MONSARAZ E O SNBP - SINDICATO NACIONAL DOS BOMBEIROS PROFISSIONAIS;Acordo de empresa;Nacional;2013;2017;2;1;1.486.0
6380;ACORDO DE EMPRESA ENTRE A SVITZER LISBOA - REBOQUES MARÍTIMOS, SA E O SITEMAQ - SINDICATO DA MESTRANÇA E MARINHAGEM DA MARINHA MERCANTE, ENERGIA E FOGUEIROS DE TERRA - REVISÃO GLOBAL;Acordo de empresa;Nacional;2013;2013;1;1;1.5.5
6381;ACORDO DE EMPRESA ENTRE OS CTT - CORREIOS DE PORTUGAL, SA E O SINDETELCO - SINDICATO DEMOCRÁTICO DOS TRABALHADORES DAS COMUNICAÇÕES E DOS MÉDIA E OUTROS - REVISÃO GLOBAL;Acordo de empresa;Nacional;2013;2013;11;11;1.15.4 1.221.1 1.236.1 1.385.2 1.451.0 1.47.0 1.504.0 1.516.2 1.533.0 1.536.0 4.6.0
6382;ACORDO DE EMPRESA ENTRE A CAIMA - INDÚSTRIA DE CELULOSE, SA E A FIEQUIMETAL - FEDERAÇÃO INTERSINDICAL DAS INDÚSTRIAS METALÚRGICAS, QUÍMICAS, ELÉCTRICAS, FARMACÊUTICA, CELULOSE, PAPEL, GRÁFICA, IMPRENSA, ENERGIA E MINAS E OUTROS - REVISÃO GLOBAL.;Acordo de empresa;Nacional;2013;2013;6;6;1.143.1 1.518.0 2.40.1 2.46.0 2.48.1 2.50.0
6383;ACORDO COLETIVO ENTRE A PT COMUNICAÇÕES, SA E OUTRAS E O SINDETELCO - SINDICATO DEMOCRÁTICO DAS COMUNICAÇÕES E DOS MÉDIA E OUTROS - REVISÃO GLOBAL;Acordo coletivo de trabalho;Nacional;2013;2013;21;11;1.119.1 1.218.5 1.236.1 1.248.4 1.296.3 1.385.2 1.433.1 1.451.0 1.504.0 2.47.0 4.7.0
6384;ACORDO DE EMPRESA ENTRE A CAIMA - INDÚSTRIA DE CELULOSE, SA E A FETESE - FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA E SERVIÇOS - REVISÃO GLOBAL.;Acordo de empresa;Nacional;2013;2013;1;1;2.26.3
6385;ACORDO COLETIVO ENTRE A BRISA - AUTO-ESTRADAS DE PORTUGAL, SA E OUTRAS E O SETACCOP - SINDICATO DA CONSTRUÇÃO, OBRAS PÚBLICAS E SERVIÇOS E OUTROS - REVISÃO GLOBAL;Acordo coletivo de trabalho;Continente;2013;2015;16;8;1.143.1 1.143.2 1.286.3 2.26.3 2.46.0 2.48.1 2.50.0 2.6.4
6386;ACORDO DE EMPRESA ENTRE A PORTUCEL, SA E O SINDETELCO - SINDICATO DEMOCRÁTICO DOS TRABALHADORES DAS COMUNICAÇÕES E DOS MÉDIA E OUTRA - REVISÃO GLOBAL;Acordo de empresa;Nacional;2013;2015;4;2;1.385.2 2.26.3
6387;ACORDO DE EMPRESA ENTRE A PROMARINHA - GABINETE DE ESTUDOS E PROJETOS , SA E A FESMAR - FEDERAÇÃO DE SINDICATOS DOS TRABALHADORES DO MAR - 1ª. CONVENÇÃO.;Acordo de empresa;Nacional;2013;2024;9;1;2.36.0
6388;ACORDO COLETIVO ENTRE A AVEIPORT - SOCIEDADE OPERADORA PORTUÁRIA DE AVEIRO, LDA E OUTRAS E O SINDICATO 2013 DOS TRABALHADORES DOS TERMINAIS PORTUÁRIOS DE AVEIRO;Acordo coletivo de trabalho;Distrital;2013;2026;7;1;1.602.0
6389;ACORDO COLETIVO ENTRE A LACTICOOP - UNIÃO DAS COOPERATIVAS DE PRODUTORES DE LEITE ENTRE DOURO E MONDEGO, UCLR. E OUTRAS E O SETAA - SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS - REVISÃO GLOBAL;Acordo coletivo de trabalho;Nacional;2013;2015;3;1;1.103.2
6390;ACORDO DE EMPRESA ENTRE A RODOVIÁRIA DA BEIRA INTERIOR, SA E O SINDICATO NACIONAL DOS MOTORISTAS;Acordo de empresa;Nacional;2013;2013;1;1;1.427.0
6391;ACORDO DE EMPRESA ENTRE A PORTUCEL, SA E O SINDEQ - SINDICATO DEMOCRÁTICO DA ENERGIA, QUÍMICA, TÊXTIL E INDÚSTRIAS DIVERSAS E OUTROS - REVISÃO GLOBAL.;Acordo de empresa;Nacional;2013;2015;6;4;1.360.2 1.5.5 2.47.0 4.9.1
6392;ACORDO DE EMPRESA ENTRE A AUTO-ESTRADAS NORTE LITORAL - SOCIEDADE CONCESSIONARIA - AENI, SA E O CESP - SINDICATO DOS TRABALHADORES DO COMÉRCIO, ESCRITÓRIOS E SERVIÇOS DE PORTUGAL;Acordo de empresa;Nacional;2013;2014;2;1;1.518.0
6393;ACORDO COLETIVO ENTRE A LACTICOOP ¿ UNIÃO DAS COOPERATIVAS DE PRODUTORES DE LEITE DE ENTRE DOURO E MONDEGO, URCL E OUTRA E O SINDICATO DO COMÉRCIO, ESCRITÓRIOS E SERVIÇOS (SINDCES/UGT) ¿ ALTERAÇÃO SALARIAL E OUTRAS.;Acordo coletivo de trabalho;Nacional;2013;2015;3;2;1.103.2 1.222.3
6394;ACORDO DE EMPRESA ENTRE A SAINT GOBAIN SEKURIT PORTUGAL - VIDRO AUTOMÓVEL, SA (SGPS) E A FEVICCOM - FEDERAÇÃO PORTUGUESA DOS SINDICATOS DA CONSTRUÇÃO, CERÂMICA E VIDRO - REVISÃO GLOBAL;Acordo de empresa;Distrital;2013;2019;9;1;2.46.0
6395;ACORDO COLETIVO ENTRE A LACTICOOP - UNIÃO DAS COOPERATIVAS DE PRODUTORES DE LEITE DE ENTRE DOURO E MONDEGO, URCL E OUTRAS E O SIND. DOS PROF. DE LACTICINIOS, ALIMENTAÇÃO, AGRIC., ESCR, COMÉRCIO, SERVIÇOS, TRANS. RODO, METALO, METALURGIA, CONS. CIVIL E MADEIRAS E OUTRO - REVISÃO GLOBAL;Acordo coletivo de trabalho;Nacional;2013;2015;5;2;1.138.1 1.565.0
